Municipio;Qtd-Doses-Distribuidas;;;
SÃO MIGUEL ARCANJO;9526;;;
SÃO PAULO;4027699;;;
SÃO PEDRO;12946;;;
SÃO PEDRO DO TURVO;2524;;;
SÃO ROQUE;30975;;;
SÃO SEBASTIÃO;20890;;;
SÃO SEBASTIÃO DA GRAMA;4245;;;
SÃO SIMÃO;5680;;;
SÃO VICENTE;107961;;;
SARAPUÍ;2748;;;
SARUTAIÁ;1286;;;
SEBASTIANÓPOLIS DO SUL;1286;;;
SERRA AZUL;3256;;;
SERRA NEGRA;11814;;;
SERRANA;9613;;;
SERTÃOZINHO;36165;;;
SETE BARRAS;4006;;;
SEVERÍNIA;4309;;;
SILVEIRAS;2071;;;
SOCORRO;16149;;;
SOROCABA;208800;;;
SUD MENNUCCI;2673;;;
SUMARÉ;67288;;;
SUZANÁPOLIS;1303;;;
SUZANO;74597;;;
TABAPUÃ;4438;;;
TABATINGA;4543;;;
TABOÃO DA SERRA;77855;;;
TACIBA;1944;;;
TAGUAÍ;3241;;;
TAIAÇU;2324;;;
TAIÚVA;2464;;;
TAMBAÚ;8013;;;
TANABI;9934;;;
TAPIRAÍ;2444;;;
TAPIRATIBA;4599;;;
TAQUARAL;1024;;;
TAQUARITINGA;21026;;;
TAQUARITUBA;7668;;;
TAQUARIVAÍ;1347;;;
TARABAI;2046;;;
TARUMÃ;3736;;;
TATUÍ;39203;;;
TAUBATÉ;103817;;;
TEJUPÁ;1283;;;
TEODORO SAMPAIO;6137;;;
TERRA ROXA;3034;;;
TIETÊ;13193;;;
TIMBURI;1126;;;
TORRE DE PEDRA;995;;;
TORRINHA;3833;;;
TRABIJU;614;;;
TREMEMBÉ;15028;;;
TRÊS FRONTEIRAS;2431;;;
TUIUTI;2502;;;
TUPÃ;30388;;;
TUPI PAULISTA;6874;;;
TURIÚBA;908;;;
TURMALINA;1022;;;
UBARANA;1506;;;
UBATUBA;25953;;;
UBIRAJARA;1620;;;
UCHOA;3896;;;
UNIÃO PAULISTA;555;;;
URÂNIA;4016;;;
URU;561;;;
URUPÊS;5267;;;
VALENTIM GENTIL;3673;;;
VALINHOS;40560;;;
VALPARAÍSO;7768;;;
VARGEM;3762;;;
VARGEM GRANDE DO SUL;13997;;;
VARGEM GRANDE PAULISTA;13694;;;
VÁRZEA PAULISTA;27785;;;
VERA CRUZ;4232;;;
VINHEDO;24572;;;
VIRADOURO;5789;;;
VISTA ALEGRE DO ALTO;2074;;;
VITÓRIA BRASIL;723;;;
VOTORANTIM;33231;;;
VOTUPORANGA;39761;;;
ZACARIAS;980;;;
