Ds Municipio Maiusc;Dose;Contagem de Id Vacinacao
NOVA GRANADA;1° Dose;1505
NOVA GRANADA;2° Dose;576
NOVA GUATAPORANGA;1° Dose;256
NOVA GUATAPORANGA;2° Dose;60
NOVA INDEPENDÊNCIA;1° Dose;250
NOVA INDEPENDÊNCIA;2° Dose;84
NOVA LUZITÂNIA;1° Dose;261
NOVA LUZITÂNIA;2° Dose;79
NOVA ODESSA;1° Dose;2942
NOVA ODESSA;2° Dose;1021
NOVAIS;1° Dose;262
NOVAIS;2° Dose;60
NOVO HORIZONTE;1° Dose;3571
NOVO HORIZONTE;2° Dose;1206
NUPORANGA;1° Dose;655
NUPORANGA;2° Dose;274
