Ds Município;Dose;Contagem de Id Vacinacao
JOSÉ BONIFÁCIO;1° Dose;3191
JOSÉ BONIFÁCIO;2° Dose;1122
JÚLIO MESQUITA;1° Dose;255
JÚLIO MESQUITA;2° Dose;76
JUMIRIM;1° Dose;230
JUMIRIM;2° Dose;65
JUNDIAÍ;1° Dose;32386
JUNDIAÍ;2° Dose;11254
JUNQUEIRÓPOLIS;1° Dose;2195
JUNQUEIRÓPOLIS;2° Dose;734
JUQUIÁ;1° Dose;1435
JUQUIÁ;2° Dose;300
JUQUITIBA;1° Dose;2087
JUQUITIBA;2° Dose;721
LAGOINHA;1° Dose;513
LAGOINHA;2° Dose;193
LARANJAL PAULISTA;1° Dose;2384
LARANJAL PAULISTA;2° Dose;829
LAVÍNIA;1° Dose;589
LAVÍNIA;2° Dose;167
LAVRINHAS;1° Dose;377
LAVRINHAS;2° Dose;97
LEME;1° Dose;7891
LEME;2° Dose;2690
LENÇÓIS PAULISTA;1° Dose;4914
LENÇÓIS PAULISTA;2° Dose;1640
LIMEIRA;1° Dose;20022
LIMEIRA;2° Dose;3478
LINDÓIA;1° Dose;677
LINDÓIA;2° Dose;206
LINS;1° Dose;8365
LINS;2° Dose;3239
LORENA;1° Dose;6284
LORENA;2° Dose;2329
LOURDES;1° Dose;300
LOURDES;2° Dose;94
LOUVEIRA;1° Dose;2451
LOUVEIRA;2° Dose;934
LUCÉLIA;1° Dose;1842
LUCÉLIA;2° Dose;646
LUCIANÓPOLIS;1° Dose;275
LUCIANÓPOLIS;2° Dose;61
LUÍS ANTÔNIO;1° Dose;726
LUÍS ANTÔNIO;2° Dose;276
LUIZIÂNIA;1° Dose;444
LUIZIÂNIA;2° Dose;110
LUPÉRCIO;1° Dose;400
LUPÉRCIO;2° Dose;105
LUTÉCIA;1° Dose;324
LUTÉCIA;2° Dose;122
MACATUBA;1° Dose;1387
MACATUBA;2° Dose;487
MACAUBAL;1° Dose;911
MACAUBAL;2° Dose;286
MACEDÔNIA;1° Dose;212
MACEDÔNIA;2° Dose;63
MAGDA;1° Dose;407
MAGDA;2° Dose;118
MAIRINQUE;1° Dose;3107
MAIRINQUE;2° Dose;987
MAIRIPORÃ;1° Dose;5539
MAIRIPORÃ;2° Dose;1700
MANDURI;1° Dose;911
MANDURI;2° Dose;226
MARABÁ PAULISTA;1° Dose;344
MARABÁ PAULISTA;2° Dose;83
MARACAÍ;1° Dose;1120
MARACAÍ;2° Dose;465
MARAPOAMA;1° Dose;259
MARAPOAMA;2° Dose;107
MARIÁPOLIS;1° Dose;333
MARIÁPOLIS;2° Dose;98
MARÍLIA;1° Dose;23079
MARÍLIA;2° Dose;10134
MARINÓPOLIS;1° Dose;263
MARINÓPOLIS;2° Dose;95
MARTINÓPOLIS;1° Dose;2266
MARTINÓPOLIS;2° Dose;646
MATÃO;1° Dose;6327
MATÃO;2° Dose;2232
MAUÁ;1° Dose;23345
MAUÁ;2° Dose;9656
MENDONÇA;1° Dose;447
MENDONÇA;2° Dose;235
MERIDIANO;1° Dose;432
MERIDIANO;2° Dose;126
MESÓPOLIS;1° Dose;134
MESÓPOLIS;2° Dose;62
MIGUELÓPOLIS;1° Dose;1774
MIGUELÓPOLIS;2° Dose;527
MINEIROS DO TIETÊ;1° Dose;987
MINEIROS DO TIETÊ;2° Dose;276
MIRA ESTRELA;1° Dose;318
MIRA ESTRELA;2° Dose;95
MIRACATU;1° Dose;1356
MIRACATU;2° Dose;365
MIRANDÓPOLIS;1° Dose;2483
MIRANDÓPOLIS;2° Dose;1007
MIRANTE DO PARANAPANEMA;1° Dose;1616
MIRANTE DO PARANAPANEMA;2° Dose;598
MIRASSOL;1° Dose;4948
MIRASSOL;2° Dose;1573
MIRASSOLÂNDIA;1° Dose;486
MIRASSOLÂNDIA;2° Dose;136
