Municipio;Dose;Contagem de Id Vacinacao
JACUPIRANGA;1° Dose;441
JACUPIRANGA;2° Dose;103
JAGUARIÚNA;1° Dose;1255
JAGUARIÚNA;2° Dose;103
JALES;1° Dose;3085
JALES;2° Dose;685
JAMBEIRO;1° Dose;205
JAMBEIRO;2° Dose;50
JANDIRA;1° Dose;1563
JANDIRA;2° Dose;722
JARDINÓPOLIS;1° Dose;1237
JARDINÓPOLIS;2° Dose;383
JARINU;1° Dose;1029
JARINU;2° Dose;298
JAÚ;1° Dose;8722
JAÚ;2° Dose;1986
JERIQUARA;1° Dose;120
JERIQUARA;2° Dose;31
JOANÓPOLIS;1° Dose;538
JOANÓPOLIS;2° Dose;154
JOÃO RAMALHO;1° Dose;124
JOÃO RAMALHO;2° Dose;37
JOSÉ BONIFÁCIO;1° Dose;1297
JOSÉ BONIFÁCIO;2° Dose;422
JÚLIO MESQUITA;1° Dose;126
JÚLIO MESQUITA;2° Dose;34
JUMIRIM;1° Dose;87
JUMIRIM;2° Dose;23
JUNDIAÍ;1° Dose;15605
JUNDIAÍ;2° Dose;3502
JUNQUEIRÓPOLIS;1° Dose;975
JUNQUEIRÓPOLIS;2° Dose;247
JUQUIÁ;1° Dose;497
JUQUIÁ;2° Dose;105
JUQUITIBA;1° Dose;1044
JUQUITIBA;2° Dose;304
LAGOINHA;1° Dose;231
LAGOINHA;2° Dose;58
LARANJAL PAULISTA;1° Dose;1119
LARANJAL PAULISTA;2° Dose;327
LAVÍNIA;1° Dose;217
LAVÍNIA;2° Dose;69
LAVRINHAS;1° Dose;165
LAVRINHAS;2° Dose;46
LEME;1° Dose;3627
LEME;2° Dose;1012
LENÇÓIS PAULISTA;1° Dose;2220
LENÇÓIS PAULISTA;2° Dose;610
LIMEIRA;1° Dose;8349
LIMEIRA;2° Dose;152
LINDÓIA;1° Dose;268
LINDÓIA;2° Dose;72
LINS;1° Dose;4632
LINS;2° Dose;936
LORENA;1° Dose;3239
LORENA;2° Dose;864
LOURDES;1° Dose;130
LOURDES;2° Dose;31
LOUVEIRA;1° Dose;1234
LOUVEIRA;2° Dose;421
LUCÉLIA;1° Dose;867
LUCÉLIA;2° Dose;274
LUCIANÓPOLIS;1° Dose;95
LUCIANÓPOLIS;2° Dose;29
LUÍS ANTÔNIO;1° Dose;393
LUÍS ANTÔNIO;2° Dose;139
LUIZIÂNIA;1° Dose;154
LUIZIÂNIA;2° Dose;38
LUPÉRCIO;1° Dose;138
LUPÉRCIO;2° Dose;27
LUTÉCIA;1° Dose;149
LUTÉCIA;2° Dose;39
MACATUBA;1° Dose;645
MACATUBA;2° Dose;168
MACAUBAL;1° Dose;389
MACAUBAL;2° Dose;104
MACEDÔNIA;1° Dose;144
